infinitive,je|present,tu|present,il_elle_on|present,nous|present,vous|present,ils_elles|present,je|past,tu|past,il_elle_on|past,nous|past,vous|past,ils_elles|past,je|future,tu|future,il_elle_on|future,nous|future,vous|future,ils_elles|future
accroupir,accroupis,accroupis,accroupit,accroupissons,accroupissez,accroupissent,accroupissais,accroupissais,accroupissait,accroupissions,accroupissiez,accroupissaient,accroupirai,accroupiras,accroupira,accroupirons,accroupirez,accroupiront
abstraire,abstrais,abstrais,abstrait,abstrayons,abstrayez,abstraient,abstrayais,abstrayais,abstrayait,abstrayions,abstrayiez,abstrayaient,abstrairai,abstrairas,abstraira,abstrairons,abstrairez,abstrairont
achalander,achalande,achalandes,achalande,achalandons,achalandez,achalandent,achalandais,achalandais,achalandait,achalandions,achalandiez,achalandaient,achalanderai,achalanderas,achalandera,achalanderons,achalanderez,achalanderont
agenouiller,agenouille,agenouilles,agenouille,agenouillons,agenouillez,agenouillent,agenouillais,agenouillais,agenouillait,agenouillions,agenouilliez,agenouillaient,agenouillerai,agenouilleras,agenouillera,agenouillerons,agenouillerez,agenouilleront
abréger,abrège,abrèges,abrège,abrégeons,abrégez,abrègent,abrégeais,abrégeais,abrégeait,abrégions,abrégiez,abrégeaient,abrègerai;abrégerai,abrègeras;abrégeras,abrègera;abrégera,abrègerons;abrégerons,abrègerez;abrégerez,abrègeront;abrégeront
acheter,achète,achètes,achète,achetons,achetez,achètent,achetais,achetais,achetait,achetions,achetiez,achetaient,achèterai,achèteras,achètera,achèterons,achèterez,achèteront
aigrir,aigris,aigris,aigrit,aigrissons,aigrissez,aigrissent,aigrissais,aigrissais,aigrissait,aigrissions,aigrissiez,aigrissaient,aigrirai,aigriras,aigrira,aigrirons,aigrirez,aigriront
accroître,accroîs,accroîs,accroît,accroissons,accroissez,accroissent,accroissais,accroissais,accroissait,accroissions,accroissiez,accroissaient,accroîtrai,accroîtras,accroîtra,accroîtrons,accroîtrez,accroîtront
aider,aide,aides,aide,aidons,aidez,aident,aidais,aidais,aidait,aidions,aidiez,aidaient,aiderai,aideras,aidera,aiderons,aiderez,aideront
absconser,absconse,absconses,absconse,absconsons,absconsez,absconsent,absconsais,absconsais,absconsait,absconsions,absconsiez,absconsaient,absconserai,absconseras,absconsera,absconserons,absconserez,absconseront
abroutir,abroutis,abroutis,abroutit,abroutissons,abroutissez,abroutissent,abroutissais,abroutissais,abroutissait,abroutissions,abroutissiez,abroutissaient,abroutirai,abroutiras,abroutira,abroutirons,abroutirez,abroutiront
achaler,achale,achales,achale,achalons,achalez,achalent,achalais,achalais,achalait,achalions,achaliez,achalaient,achalerai,achaleras,achalera,achalerons,achalerez,achaleront
accoutumer,accoutume,accoutumes,accoutume,accoutumons,accoutumez,accoutument,accoutumais,accoutumais,accoutumait,accoutumions,accoutumiez,accoutumaient,accoutumerai,accoutumeras,accoutumera,accoutumerons,accoutumerez,accoutumeront
alanguir,alanguis,alanguis,alanguit,alanguissons,alanguissez,alanguissent,alanguissais,alanguissais,alanguissait,alanguissions,alanguissiez,alanguissaient,alanguirai,alanguiras,alanguira,alanguirons,alanguirez,alanguiront
adjurer,adjure,adjures,adjure,adjurons,adjurez,adjurent,adjurais,adjurais,adjurait,adjurions,adjuriez,adjuraient,adjurerai,adjureras,adjurera,adjurerons,adjurerez,adjureront
aggraver,aggrave,aggraves,aggrave,aggravons,aggravez,aggravent,aggravais,aggravais,aggravait,aggravions,aggraviez,aggravaient,aggraverai,aggraveras,aggravera,aggraverons,aggraverez,aggraveront
affiner,affine,affines,affine,affinons,affinez,affinent,affinais,affinais,affinait,affinions,affiniez,affinaient,affinerai,affineras,affinera,affinerons,affinerez,affineront
adosser,adosse,adosses,adosse,adossons,adossez,adossent,adossais,adossais,adossait,adossions,adossiez,adossaient,adosserai,adosseras,adossera,adosserons,adosserez,adosseront
ajuster,ajuste,ajustes,ajuste,ajustons,ajustez,ajustent,ajustais,ajustais,ajustait,ajustions,ajustiez,ajustaient,ajusterai,ajusteras,ajustera,ajusterons,ajusterez,ajusteront
actionner,actionne,actionnes,actionne,actionnons,actionnez,actionnent,actionnais,actionnais,actionnait,actionnions,actionniez,actionnaient,actionnerai,actionneras,actionnera,actionnerons,actionnerez,actionneront
admonester,admoneste,admonestes,admoneste,admonestons,admonestez,admonestent,admonestais,admonestais,admonestait,admonestions,admonestiez,admonestaient,admonesterai,admonesteras,admonestera,admonesterons,admonesterez,admonesteront
alcooliser,alcoolise,alcoolises,alcoolise,alcoolisons,alcoolisez,alcoolisent,alcoolisais,alcoolisais,alcoolisait,alcoolisions,alcoolisiez,alcoolisaient,alcooliserai,alcooliseras,alcoolisera,alcooliserons,alcooliserez,alcooliseront
alentir,alentis,alentis,alentit,alentissons,alentissez,alentissent,alentissais,alentissais,alentissait,alentissions,alentissiez,alentissaient,alentirai,alentiras,alentira,alentirons,alentirez,alentiront
affréter,affrète,affrètes,affrète,affrétons,affrétez,affrètent,affrétais,affrétais,affrétait,affrétions,affrétiez,affrétaient,affrèterai;affréterai,affrèteras;affréteras,affrètera;affrétera,affrèterons;affréterons,affrèterez;affréterez,affrèteront;affréteront
acquérir,acquiers,acquiers,acquiert,acquérons,acquérez,acquièrent,acquérais,acquérais,acquérait,acquérions,acquériez,acquéraient,acquerrai,acquerras,acquerra,acquerrons,acquerrez,acquerront
abhorrer,abhorre,abhorres,abhorre,abhorrons,abhorrez,abhorrent,abhorrais,abhorrais,abhorrait,abhorrions,abhorriez,abhorraient,abhorrerai,abhorreras,abhorrera,abhorrerons,abhorrerez,abhorreront
affilier,affilie,affilies,affilie,affilions,affiliez,affilient,affiliais,affiliais,affiliait,affiliions,affiliiez,affiliaient,affilierai,affilieras,affiliera,affilierons,affilierez,affilieront
absoudre,absous,absous,absout,absolvons,absolvez,absolvent,absolvais,absolvais,absolvait,absolvions,absolviez,absolvaient,absoudrai,absoudras,absoudra,absoudrons,absoudrez,absoudront
agonir,agonis,agonis,agonit,agonissons,agonissez,agonissent,agonissais,agonissais,agonissait,agonissions,agonissiez,agonissaient,agonirai,agoniras,agonira,agonirons,agonirez,agoniront
administrer,administre,administres,administre,administrons,administrez,administrent,administrais,administrais,administrait,administrions,administriez,administraient,administrerai,administreras,administrera,administrerons,administrerez,administreront
abâtardir,abâtardis,abâtardis,abâtardit,abâtardissons,abâtardissez,abâtardissent,abâtardissais,abâtardissais,abâtardissait,abâtardissions,abâtardissiez,abâtardissaient,abâtardirai,abâtardiras,abâtardira,abâtardirons,abâtardirez,abâtardiront
abrutir,abrutis,abrutis,abrutit,abrutissons,abrutissez,abrutissent,abrutissais,abrutissais,abrutissait,abrutissions,abrutissiez,abrutissaient,abrutirai,abrutiras,abrutira,abrutirons,abrutirez,abrutiront
abouter,aboute,aboutes,aboute,aboutons,aboutez,aboutent,aboutais,aboutais,aboutait,aboutions,aboutiez,aboutaient,abouterai,abouteras,aboutera,abouterons,abouterez,abouteront
accepter,accepte,acceptes,accepte,acceptons,acceptez,acceptent,acceptais,acceptais,acceptait,acceptions,acceptiez,acceptaient,accepterai,accepteras,acceptera,accepterons,accepterez,accepteront
accourir,accours,accours,accourt,accourons,accourez,accourent,accourais,accourais,accourait,accourions,accouriez,accouraient,accourrai,accourras,accourra,accourrons,accourrez,accourront
abêtir,abêtis,abêtis,abêtit,abêtissons,abêtissez,abêtissent,abêtissais,abêtissais,abêtissait,abêtissions,abêtissiez,abêtissaient,abêtirai,abêtiras,abêtira,abêtirons,abêtirez,abêtiront
admettre,admets,admets,admet,admettons,admettez,admettent,admettais,admettais,admettait,admettions,admettiez,admettaient,admettrai,admettras,admettra,admettrons,admettrez,admettront
additionner,additionne,additionnes,additionne,additionnons,additionnez,additionnent,additionnais,additionnais,additionnait,additionnions,additionniez,additionnaient,additionnerai,additionneras,additionnera,additionnerons,additionnerez,additionneront
accélérer,accélère,accélères,accélère,accélérons,accélérez,accélèrent,accélérais,accélérais,accélérait,accélérions,accélériez,accéléraient,accélèrerai;accélérerai,accélèreras;accéléreras,accélèrera;accélérera,accélèrerons;accélérerons,accélèrerez;accélérerez,accélèreront;accéléreront
aliéner,aliène,aliènes,aliène,aliénons,aliénez,aliènent,aliénais,aliénais,aliénait,aliénions,aliéniez,aliénaient,aliènerai;aliénerai,alièneras;aliéneras,aliènera;aliénera,aliènerons;aliénerons,aliènerez;aliénerez,alièneront;aliéneront
afficher,affiche,affiches,affiche,affichons,affichez,affichent,affichais,affichais,affichait,affichions,affichiez,affichaient,afficherai,afficheras,affichera,afficherons,afficherez,afficheront
aiguillonner,aiguillonne,aiguillonnes,aiguillonne,aiguillonnons,aiguillonnez,aiguillonnent,aiguillonnais,aiguillonnais,aiguillonnait,aiguillonnions,aiguillonniez,aiguillonnaient,aiguillonnerai,aiguillonneras,aiguillonnera,aiguillonnerons,aiguillonnerez,aiguillonneront
aboucher,abouche,abouches,abouche,abouchons,abouchez,abouchent,abouchais,abouchais,abouchait,abouchions,abouchiez,abouchaient,aboucherai,aboucheras,abouchera,aboucherons,aboucherez,aboucheront
abaisser,abaisse,abaisses,abaisse,abaissons,abaissez,abaissent,abaissais,abaissais,abaissait,abaissions,abaissiez,abaissaient,abaisserai,abaisseras,abaissera,abaisserons,abaisserez,abaisseront
abroger,abroge,abroges,abroge,abrogeons,abrogez,abrogent,abrogeais,abrogeais,abrogeait,abrogions,abrogiez,abrogeaient,abrogerai,abrogeras,abrogera,abrogerons,abrogerez,abrogeront
adhérer,adhère,adhères,adhère,adhérons,adhérez,adhèrent,adhérais,adhérais,adhérait,adhérions,adhériez,adhéraient,adhèrerai;adhérerai,adhèreras;adhéreras,adhèrera;adhérera,adhèrerons;adhérerons,adhèrerez;adhérerez,adhèreront;adhéreront
abîmer,abîme,abîmes,abîme,abîmons,abîmez,abîment,abîmais,abîmais,abîmait,abîmions,abîmiez,abîmaient,abîmerai,abîmeras,abîmera,abîmerons,abîmerez,abîmeront
adultérer,adultère,adultères,adultère,adultérons,adultérez,adultèrent,adultérais,adultérais,adultérait,adultérions,adultériez,adultéraient,adultèrerai;adultérerai,adultèreras;adultéreras,adultèrera;adultérera,adultèrerons;adultérerons,adultèrerez;adultérerez,adultèreront;adultéreront
accoler,accole,accoles,accole,accolons,accolez,accolent,accolais,accolais,accolait,accolions,accoliez,accolaient,accolerai,accoleras,accolera,accolerons,accolerez,accoleront
affaisser,affaisse,affaisses,affaisse,affaissons,affaissez,affaissent,affaissais,affaissais,affaissait,affaissions,affaissiez,affaissaient,affaisserai,affaisseras,affaissera,affaisserons,affaisserez,affaisseront
accoucher,accouche,accouches,accouche,accouchons,accouchez,accouchent,accouchais,accouchais,accouchait,accouchions,accouchiez,accouchaient,accoucherai,accoucheras,accouchera,accoucherons,accoucherez,accoucheront
agneler,agnelle,agnelles,agnelle,agnelons,agnelez,agnellent,agnelais,agnelais,agnelait,agnelions,agneliez,agnelaient,agnellerai,agnelleras,agnellera,agnellerons,agnellerez,agnelleront
accréditer,accrédite,accrédites,accrédite,accréditons,accréditez,accréditent,accréditais,accréditais,accréditait,accréditions,accréditiez,accréditaient,accréditerai,accréditeras,accréditera,accréditerons,accréditerez,accréditeront
activer,active,actives,active,activons,activez,activent,activais,activais,activait,activions,activiez,activaient,activerai,activeras,activera,activerons,activerez,activeront
ahurir,ahuris,ahuris,ahurit,ahurissons,ahurissez,ahurissent,ahurissais,ahurissais,ahurissait,ahurissions,ahurissiez,ahurissaient,ahurirai,ahuriras,ahurira,ahurirons,ahurirez,ahuriront
accentuer,accentue,accentues,accentue,accentuons,accentuez,accentuent,accentuais,accentuais,accentuait,accentuions,accentuiez,accentuaient,accentuerai,accentueras,accentuera,accentuerons,accentuerez,accentueront
affermir,affermis,affermis,affermit,affermissons,affermissez,affermissent,affermissais,affermissais,affermissait,affermissions,affermissiez,affermissaient,affermirai,affermiras,affermira,affermirons,affermirez,affermiront
airer,aire,aires,aire,airons,airez,airent,airais,airais,airait,airions,airiez,airaient,airerai,aireras,airera,airerons,airerez,aireront
accueillir,accueille,accueilles,accueille,accueillons,accueillez,accueillent,accueillais,accueillais,accueillait,accueillions,accueilliez,accueillaient,accueillerai,accueilleras,accueillera,accueillerons,accueillerez,accueilleront
accessoiriser,accessoirise,accessoirises,accessoirise,accessoirisons,accessoirisez,accessoirisent,accessoirisais,accessoirisais,accessoirisait,accessoirisions,accessoirisiez,accessoirisaient,accessoiriserai,accessoiriseras,accessoirisera,accessoiriserons,accessoiriserez,accessoiriseront
accuser,accuse,accuses,accuse,accusons,accusez,accusent,accusais,accusais,accusait,accusions,accusiez,accusaient,accuserai,accuseras,accusera,accuserons,accuserez,accuseront
acheminer,achemine,achemines,achemine,acheminons,acheminez,acheminent,acheminais,acheminais,acheminait,acheminions,acheminiez,acheminaient,acheminerai,achemineras,acheminera,acheminerons,acheminerez,achemineront
abasourdir,abasourdis,abasourdis,abasourdit,abasourdissons,abasourdissez,abasourdissent,abasourdissais,abasourdissais,abasourdissait,abasourdissions,abasourdissiez,abasourdissaient,abasourdirai,abasourdiras,abasourdira,abasourdirons,abasourdirez,abasourdiront
aiguiller,aiguille,aiguilles,aiguille,aiguillons,aiguillez,aiguillent,aiguillais,aiguillais,aiguillait,aiguillions,aiguilliez,aiguillaient,aiguillerai,aiguilleras,aiguillera,aiguillerons,aiguillerez,aiguilleront
abricoter,abricote,abricotes,abricote,abricotons,abricotez,abricotent,abricotais,abricotais,abricotait,abricotions,abricotiez,abricotaient,abricoterai,abricoteras,abricotera,abricoterons,abricoterez,abricoteront
accommoder,accommode,accommodes,accommode,accommodons,accommodez,accommodent,accommodais,accommodais,accommodait,accommodions,accommodiez,accommodaient,accommoderai,accommoderas,accommodera,accommoderons,accommoderez,accommoderont
agripper,agrippe,agrippes,agrippe,agrippons,agrippez,agrippent,agrippais,agrippais,agrippait,agrippions,agrippiez,agrippaient,agripperai,agripperas,agrippera,agripperons,agripperez,agripperont
alcaliniser,alcalinise,alcalinises,alcalinise,alcalinisons,alcalinisez,alcalinisent,alcalinisais,alcalinisais,alcalinisait,alcalinisions,alcalinisiez,alcalinisaient,alcaliniserai,alcaliniseras,alcalinisera,alcaliniserons,alcaliniserez,alcaliniseront
agir,agis,agis,agit,agissons,agissez,agissent,agissais,agissais,agissait,agissions,agissiez,agissaient,agirai,agiras,agira,agirons,agirez,agiront
agacer,agace,agaces,agace,agaçons,agacez,agacent,agaçais,agaçais,agaçait,agacions,agaciez,agaçaient,agacerai,agaceras,agacera,agacerons,agacerez,agaceront
agrandir,agrandis,agrandis,agrandit,agrandissons,agrandissez,agrandissent,agrandissais,agrandissais,agrandissait,agrandissions,agrandissiez,agrandissaient,agrandirai,agrandiras,agrandira,agrandirons,agrandirez,agrandiront
adjuger,adjuge,adjuges,adjuge,adjugeons,adjugez,adjugent,adjugeais,adjugeais,adjugeait,adjugions,adjugiez,adjugeaient,adjugerai,adjugeras,adjugera,adjugerons,adjugerez,adjugeront
abimer,abime,abimes,abime,abimons,abimez,abiment,abimais,abimais,abimait,abimions,abimiez,abimaient,abimerai,abimeras,abimera,abimerons,abimerez,abimeront
accomplir,accomplis,accomplis,accomplit,accomplissons,accomplissez,accomplissent,accomplissais,accomplissais,accomplissait,accomplissions,accomplissiez,accomplissaient,accomplirai,accompliras,accomplira,accomplirons,accomplirez,accompliront
ablater,ablate,ablates,ablate,ablatons,ablatez,ablatent,ablatais,ablatais,ablatait,ablations,ablatiez,ablataient,ablaterai,ablateras,ablatera,ablaterons,ablaterez,ablateront
aberrer,aberre,aberres,aberre,aberrons,aberrez,aberrent,aberrais,aberrais,aberrait,aberrions,aberriez,aberraient,aberrerai,aberreras,aberrera,aberrerons,aberrerez,aberreront
accoter,accote,accotes,accote,accotons,accotez,accotent,accotais,accotais,accotait,accotions,accotiez,accotaient,accoterai,accoteras,accotera,accoterons,accoterez,accoteront
affiler,affile,affiles,affile,affilons,affilez,affilent,affilais,affilais,affilait,affilions,affiliez,affilaient,affilerai,affileras,affilera,affilerons,affilerez,affileront
affermer,afferme,affermes,afferme,affermons,affermez,afferment,affermais,affermais,affermait,affermions,affermiez,affermaient,affermerai,affermeras,affermera,affermerons,affermerez,affermeront
affoler,affole,affoles,affole,affolons,affolez,affolent,affolais,affolais,affolait,affolions,affoliez,affolaient,affolerai,affoleras,affolera,affolerons,affolerez,affoleront
agréer,agrée,agrées,agrée,agréons,agréez,agréent,agréais,agréais,agréait,agréions,agréiez,agréaient,agréerai,agréeras,agréera,agréerons,agréerez,agréeront
adoucir,adoucis,adoucis,adoucit,adoucissons,adoucissez,adoucissent,adoucissais,adoucissais,adoucissait,adoucissions,adoucissiez,adoucissaient,adoucirai,adouciras,adoucira,adoucirons,adoucirez,adouciront
absenter,absente,absentes,absente,absentons,absentez,absentent,absentais,absentais,absentait,absentions,absentiez,absentaient,absenterai,absenteras,absentera,absenterons,absenterez,absenteront
aduler,adule,adules,adule,adulons,adulez,adulent,adulais,adulais,adulait,adulions,aduliez,adulaient,adulerai,aduleras,adulera,adulerons,adulerez,aduleront
alarmer,alarme,alarmes,alarme,alarmons,alarmez,alarment,alarmais,alarmais,alarmait,alarmions,alarmiez,alarmaient,alarmerai,alarmeras,alarmera,alarmerons,alarmerez,alarmeront
agresser,agresse,agresses,agresse,agressons,agressez,agressent,agressais,agressais,agressait,agressions,agressiez,agressaient,agresserai,agresseras,agressera,agresserons,agresserez,agresseront
accidenter,accidente,accidentes,accidente,accidentons,accidentez,accidentent,accidentais,accidentais,accidentait,accidentions,accidentiez,accidentaient,accidenterai,accidenteras,accidentera,accidenterons,accidenterez,accidenteront
abrier,abrie,abries,abrie,abrions,abriez,abrient,abriais,abriais,abriait,abriions,abriiez,abriaient,abrierai,abrieras,abriera,abrierons,abrierez,abrieront
accompagner,accompagne,accompagnes,accompagne,accompagnons,accompagnez,accompagnent,accompagnais,accompagnais,accompagnait,accompagnions,accompagniez,accompagnaient,accompagnerai,accompagneras,accompagnera,accompagnerons,accompagnerez,accompagneront
agrémenter,agrémente,agrémentes,agrémente,agrémentons,agrémentez,agrémentent,agrémentais,agrémentais,agrémentait,agrémentions,agrémentiez,agrémentaient,agrémenterai,agrémenteras,agrémentera,agrémenterons,agrémenterez,agrémenteront
agencer,agence,agences,agence,agençons,agencez,agencent,agençais,agençais,agençait,agencions,agenciez,agençaient,agencerai,agenceras,agencera,agencerons,agencerez,agenceront
adorer,adore,adores,adore,adorons,adorez,adorent,adorais,adorais,adorait,adorions,adoriez,adoraient,adorerai,adoreras,adorera,adorerons,adorerez,adoreront
adapter,adapte,adaptes,adapte,adaptons,adaptez,adaptent,adaptais,adaptais,adaptait,adaptions,adaptiez,adaptaient,adapterai,adapteras,adaptera,adapterons,adapterez,adapteront
abandonner,abandonne,abandonnes,abandonne,abandonnons,abandonnez,abandonnent,abandonnais,abandonnais,abandonnait,abandonnions,abandonniez,abandonnaient,abandonnerai,abandonneras,abandonnera,abandonnerons,abandonnerez,abandonneront
ajouter,ajoute,ajoutes,ajoute,ajoutons,ajoutez,ajoutent,ajoutais,ajoutais,ajoutait,ajoutions,ajoutiez,ajoutaient,ajouterai,ajouteras,ajoutera,ajouterons,ajouterez,ajouteront
abominer,abomine,abomines,abomine,abominons,abominez,abominent,abominais,abominais,abominait,abominions,abominiez,abominaient,abominerai,abomineras,abominera,abominerons,abominerez,abomineront
aciduler,acidule,acidules,acidule,acidulons,acidulez,acidulent,acidulais,acidulais,acidulait,acidulions,aciduliez,acidulaient,acidulerai,aciduleras,acidulera,acidulerons,acidulerez,aciduleront
adonner,adonne,adonnes,adonne,adonnons,adonnez,adonnent,adonnais,adonnais,adonnait,adonnions,adonniez,adonnaient,adonnerai,adonneras,adonnera,adonnerons,adonnerez,adonneront
accalmir,accalmis,accalmis,accalmit,accalmissons,accalmissez,accalmissent,accalmissais,accalmissais,accalmissait,accalmissions,accalmissiez,accalmissaient,accalmirai,accalmiras,accalmira,accalmirons,accalmirez,accalmiront
affaler,affale,affales,affale,affalons,affalez,affalent,affalais,affalais,affalait,affalions,affaliez,affalaient,affalerai,affaleras,affalera,affalerons,affalerez,affaleront
abouler,aboule,aboules,aboule,aboulons,aboulez,aboulent,aboulais,aboulais,aboulait,aboulions,abouliez,aboulaient,aboulerai,abouleras,aboulera,aboulerons,aboulerez,abouleront
abonnir,abonnis,abonnis,abonnit,abonnissons,abonnissez,abonnissent,abonnissais,abonnissais,abonnissait,abonnissions,abonnissiez,abonnissaient,abonnirai,abonniras,abonnira,abonnirons,abonnirez,abonniront
aiguiser,aiguise,aiguises,aiguise,aiguisons,aiguisez,aiguisent,aiguisais,aiguisais,aiguisait,aiguisions,aiguisiez,aiguisaient,aiguiserai,aiguiseras,aiguisera,aiguiserons,aiguiserez,aiguiseront
acétyler,acétyle,acétyles,acétyle,acétylons,acétylez,acétylent,acétylais,acétylais,acétylait,acétylions,acétyliez,acétylaient,acétylerai,acétyleras,acétylera,acétylerons,acétylerez,acétyleront
abonner,abonne,abonnes,abonne,abonnons,abonnez,abonnent,abonnais,abonnais,abonnait,abonnions,abonniez,abonnaient,abonnerai,abonneras,abonnera,abonnerons,abonnerez,abonneront
achopper,achoppe,achoppes,achoppe,achoppons,achoppez,achoppent,achoppais,achoppais,achoppait,achoppions,achoppiez,achoppaient,achopperai,achopperas,achoppera,achopperons,achopperez,achopperont
accroître,accrois,accrois,accroît,accroissons,accroissez,accroissent,accroissais,accroissais,accroissait,accroissions,accroissiez,accroissaient,accroîtrai,accroîtras,accroîtra,accroîtrons,accroîtrez,accroîtront
abstenir,abstiens,abstiens,abstient,abstenons,abstenez,abstiennent,abstenais,abstenais,abstenait,abstenions,absteniez,abstenaient,abstiendrai,abstiendras,abstiendra,abstiendrons,abstiendrez,abstiendront
alerter,alerte,alertes,alerte,alertons,alertez,alertent,alertais,alertais,alertait,alertions,alertiez,alertaient,alerterai,alerteras,alertera,alerterons,alerterez,alerteront
abayer,abaye;abaie,abayes;abaies,abaye;abaie,abayons,abayez,abayent;abaient,abayais,abayais,abayait,abayions,abayiez,abayaient,abayerai;abaierai,abayeras;abaieras,abayera;abaiera,abayerons;abaierons,abayerez;abaierez,abayeront;abaieront
abader,abade,abades,abade,abadons,abadez,abadent,abadais,abadais,abadait,abadions,abadiez,abadaient,abaderai,abaderas,abadera,abaderons,abaderez,abaderont
abréagir,abréagis,abréagis,abréagit,abréagissons,abréagissez,abréagissent,abréagissais,abréagissais,abréagissait,abréagissions,abréagissiez,abréagissaient,abréagirai,abréagiras,abréagira,abréagirons,abréagirez,abréagiront
aboutir,aboutis,aboutis,aboutit,aboutissons,aboutissez,aboutissent,aboutissais,aboutissais,aboutissait,aboutissions,aboutissiez,aboutissaient,aboutirai,aboutiras,aboutira,aboutirons,aboutirez,aboutiront
adresser,adresse,adresses,adresse,adressons,adressez,adressent,adressais,adressais,adressait,adressions,adressiez,adressaient,adresserai,adresseras,adressera,adresserons,adresserez,adresseront
affamer,affame,affames,affame,affamons,affamez,affament,affamais,affamais,affamait,affamions,affamiez,affamaient,affamerai,affameras,affamera,affamerons,affamerez,affameront
achever,achève,achèves,achève,achevons,achevez,achèvent,achevais,achevais,achevait,achevions,acheviez,achevaient,achèverai,achèveras,achèvera,achèverons,achèverez,achèveront
aguicher,aguiche,aguiches,aguiche,aguichons,aguichez,aguichent,aguichais,aguichais,aguichait,aguichions,aguichiez,aguichaient,aguicherai,aguicheras,aguichera,aguicherons,aguicherez,aguicheront
acidifier,acidifie,acidifies,acidifie,acidifions,acidifiez,acidifient,acidifiais,acidifiais,acidifiait,acidifiions,acidifiiez,acidifiaient,acidifierai,acidifieras,acidifiera,acidifierons,acidifierez,acidifieront
ajourner,ajourne,ajournes,ajourne,ajournons,ajournez,ajournent,ajournais,ajournais,ajournait,ajournions,ajourniez,ajournaient,ajournerai,ajourneras,ajournera,ajournerons,ajournerez,ajourneront
affectionner,affectionne,affectionnes,affectionne,affectionnons,affectionnez,affectionnent,affectionnais,affectionnais,affectionnait,affectionnions,affectionniez,affectionnaient,affectionnerai,affectionneras,affectionnera,affectionnerons,affectionnerez,affectionneront
agréger,agrège,agrèges,agrège,agrégeons,agrégez,agrègent,agrégeais,agrégeais,agrégeait,agrégions,agrégiez,agrégeaient,agrègerai;agrégerai,agrègeras;agrégeras,agrègera;agrégera,agrègerons;agrégerons,agrègerez;agrégerez,agrègeront;agrégeront
affabuler,affabule,affabules,affabule,affabulons,affabulez,affabulent,affabulais,affabulais,affabulait,affabulions,affabuliez,affabulaient,affabulerai,affabuleras,affabulera,affabulerons,affabulerez,affabuleront
acquiescer,acquiesce,acquiesces,acquiesce,acquiesçons,acquiescez,acquiescent,acquiesçais,acquiesçais,acquiesçait,acquiescions,acquiesciez,acquiesçaient,acquiescerai,acquiesceras,acquiescera,acquiescerons,acquiescerez,acquiesceront
académiser,académise,académises,académise,académisons,académisez,académisent,académisais,académisais,académisait,académisions,académisiez,académisaient,académiserai,académiseras,académisera,académiserons,académiserez,académiseront
adopter,adopte,adoptes,adopte,adoptons,adoptez,adoptent,adoptais,adoptais,adoptait,adoptions,adoptiez,adoptaient,adopterai,adopteras,adoptera,adopterons,adopterez,adopteront
acculturer,acculture,accultures,acculture,acculturons,acculturez,acculturent,acculturais,acculturais,acculturait,acculturions,acculturiez,acculturaient,acculturerai,accultureras,acculturera,acculturerons,acculturerez,accultureront
abcéder,abcède,abcèdes,abcède,abcédons,abcédez,abcèdent,abcédais,abcédais,abcédait,abcédions,abcédiez,abcédaient,abcèderai;abcéderai,abcèderas;abcéderas,abcèdera;abcédera,abcèderons;abcéderons,abcèderez;abcéderez,abcèderont;abcéderont
affleurer,affleure,affleures,affleure,affleurons,affleurez,affleurent,affleurais,affleurais,affleurait,affleurions,affleuriez,affleuraient,affleurerai,affleureras,affleurera,affleurerons,affleurerez,affleureront
adouber,adoube,adoubes,adoube,adoubons,adoubez,adoubent,adoubais,adoubais,adoubait,adoubions,adoubiez,adoubaient,adouberai,adouberas,adoubera,adouberons,adouberez,adouberont
abolir,abolis,abolis,abolit,abolissons,abolissez,abolissent,abolissais,abolissais,abolissait,abolissions,abolissiez,abolissaient,abolirai,aboliras,abolira,abolirons,abolirez,aboliront
abreuver,abreuve,abreuves,abreuve,abreuvons,abreuvez,abreuvent,abreuvais,abreuvais,abreuvait,abreuvions,abreuviez,abreuvaient,abreuverai,abreuveras,abreuvera,abreuverons,abreuverez,abreuveront
aborder,aborde,abordes,aborde,abordons,abordez,abordent,abordais,abordais,abordait,abordions,abordiez,abordaient,aborderai,aborderas,abordera,aborderons,aborderez,aborderont
abluer,ablue,ablues,ablue,abluons,abluez,abluent,abluais,abluais,abluait,abluions,abluiez,abluaient,abluerai,ablueras,abluera,abluerons,abluerez,ablueront
ailler,aille,ailles,aille,aillons,aillez,aillent,aillais,aillais,aillait,aillions,ailliez,aillaient,aillerai,ailleras,aillera,aillerons,aillerez,ailleront
affixer,affixe,affixes,affixe,affixons,affixez,affixent,affixais,affixais,affixait,affixions,affixiez,affixaient,affixerai,affixeras,affixera,affixerons,affixerez,affixeront
accourcir,accourcis,accourcis,accourcit,accourcissons,accourcissez,accourcissent,accourcissais,accourcissais,accourcissait,accourcissions,accourcissiez,accourcissaient,accourcirai,accourciras,accourcira,accourcirons,accourcirez,accourciront
affûter,affûte,affûtes,affûte,affûtons,affûtez,affûtent,affûtais,affûtais,affûtait,affûtions,affûtiez,affûtaient,affûterai,affûteras,affûtera,affûterons,affûterez,affûteront
abdiquer,abdique,abdiques,abdique,abdiquons,abdiquez,abdiquent,abdiquais,abdiquais,abdiquait,abdiquions,abdiquiez,abdiquaient,abdiquerai,abdiqueras,abdiquera,abdiquerons,abdiquerez,abdiqueront
