infinitive,je|present,tu|present,il_elle_on|present,nous|present,vous|present,ils_elles|present,je|past,tu|past,il_elle_on|past,nous|past,vous|past,ils_elles|past,je|future,tu|future,il_elle_on|future,nous|future,vous|future,ils_elles|future
chiffonner,chiffonne,chiffonnes,chiffonne,chiffonnons,chiffonnez,chiffonnent,chiffonnais,chiffonnais,chiffonnait,chiffonnions,chiffonniez,chiffonnaient,chiffonnerai,chiffonneras,chiffonnera,chiffonnerons,chiffonnerez,chiffonneront
ceinturer,ceinture,ceintures,ceinture,ceinturons,ceinturez,ceinturent,ceinturais,ceinturais,ceinturait,ceinturions,ceinturiez,ceinturaient,ceinturerai,ceintureras,ceinturera,ceinturerons,ceinturerez,ceintureront
chlorer,chlore,chlores,chlore,chlorons,chlorez,chlorent,chlorais,chlorais,chlorait,chlorions,chloriez,chloraient,chlorerai,chloreras,chlorera,chlorerons,chlorerez,chloreront
collaborer,collabore,collabores,collabore,collaborons,collaborez,collaborent,collaborais,collaborais,collaborait,collaborions,collaboriez,collaboraient,collaborerai,collaboreras,collaborera,collaborerons,collaborerez,collaboreront
chinoiser,chinoise,chinoises,chinoise,chinoisons,chinoisez,chinoisent,chinoisais,chinoisais,chinoisait,chinoisions,chinoisiez,chinoisaient,chinoiserai,chinoiseras,chinoisera,chinoiserons,chinoiserez,chinoiseront
clamer,clame,clames,clame,clamons,clamez,clament,clamais,clamais,clamait,clamions,clamiez,clamaient,clamerai,clameras,clamera,clamerons,clamerez,clameront
centrer,centre,centres,centre,centrons,centrez,centrent,centrais,centrais,centrait,centrions,centriez,centraient,centrerai,centreras,centrera,centrerons,centrerez,centreront
chambrer,chambre,chambres,chambre,chambrons,chambrez,chambrent,chambrais,chambrais,chambrait,chambrions,chambriez,chambraient,chambrerai,chambreras,chambrera,chambrerons,chambrerez,chambreront
coltiner,coltine,coltines,coltine,coltinons,coltinez,coltinent,coltinais,coltinais,coltinait,coltinions,coltiniez,coltinaient,coltinerai,coltineras,coltinera,coltinerons,coltinerez,coltineront
chiner,chine,chines,chine,chinons,chinez,chinent,chinais,chinais,chinait,chinions,chiniez,chinaient,chinerai,chineras,chinera,chinerons,chinerez,chineront
chavirer,chavire,chavires,chavire,chavirons,chavirez,chavirent,chavirais,chavirais,chavirait,chavirions,chaviriez,chaviraient,chavirerai,chavireras,chavirera,chavirerons,chavirerez,chavireront
claquer,claque,claques,claque,claquons,claquez,claquent,claquais,claquais,claquait,claquions,claquiez,claquaient,claquerai,claqueras,claquera,claquerons,claquerez,claqueront
clouter,cloute,cloutes,cloute,cloutons,cloutez,cloutent,cloutais,cloutais,cloutait,cloutions,cloutiez,cloutaient,clouterai,clouteras,cloutera,clouterons,clouterez,clouteront
chopiner,chopine,chopines,chopine,chopinons,chopinez,chopinent,chopinais,chopinais,chopinait,chopinions,chopiniez,chopinaient,chopinerai,chopineras,chopinera,chopinerons,chopinerez,chopineront
coïncider,coïncide,coïncides,coïncide,coïncidons,coïncidez,coïncident,coïncidais,coïncidais,coïncidait,coïncidions,coïncidiez,coïncidaient,coïnciderai,coïncideras,coïncidera,coïnciderons,coïnciderez,coïncideront
censurer,censure,censures,censure,censurons,censurez,censurent,censurais,censurais,censurait,censurions,censuriez,censuraient,censurerai,censureras,censurera,censurerons,censurerez,censureront
cochonner,cochonne,cochonnes,cochonne,cochonnons,cochonnez,cochonnent,cochonnais,cochonnais,cochonnait,cochonnions,cochonniez,cochonnaient,cochonnerai,cochonneras,cochonnera,cochonnerons,cochonnerez,cochonneront
cheminer,chemine,chemines,chemine,cheminons,cheminez,cheminent,cheminais,cheminais,cheminait,cheminions,cheminiez,cheminaient,cheminerai,chemineras,cheminera,cheminerons,cheminerez,chemineront
chier,chie,chies,chie,chions,chiez,chient,chiais,chiais,chiait,chiions,chiiez,chiaient,chierai,chieras,chiera,chierons,chierez,chieront
